Year,Championship,Team,Champ-Pos,Starts,Wins,Poles,Podiums,Win %,Podium %,Pole %
2007,Formula One,Vodafone McLaren Mercedes,2,17,4,6,12,24%,71%,35%
2008,Formula One,Vodafone McLaren Mercedes,1,18,5,7,10,28%,56%,39%
2009,Formula One,Vodafone McLaren Mercedes,5,17,2,4,5,12%,29%,24%
2010,Formula One,Vodafone McLaren Mercedes,4,19,3,1,9,16%,47%,5%
2011,Formula One,Vodafone McLaren Mercedes,5,19,3,1,6,16%,32%,5%
2012,Formula One,Vodafone McLaren Mercedes,4,20,4,7,7,20%,35%,35%
2013,Formula One,Mercedes AMG Petronas F1 Team,4,19,1,5,5,5%,26%,26%
2014,Formula One,Mercedes AMG Petronas F1 Team,1,19,11,7,16,58%,84%,37%
2015,Formula One,Mercedes AMG Petronas F1 Team,1,19,10,11,17,53%,89%,58%
2016,Formula One,Mercedes AMG Petronas F1 Team,2,21,10,12,17,48%,81%,57%
2017,Formula One,Mercedes AMG Petronas F1 Team,1,20,9,11,13,45%,65%,55%
2018,Formula One,Mercedes AMG Petronas Motorsport,1,21,11,11,17,52%,81%,52%
2019,Formula One,Mercedes-AMG Petronas Motorsport,1,21,11,5,17,52%,81%,24%
2020,Formula One,Mercedes-AMG Petronas Formula One Team,1,16,11,10,14,69%,88%,63%
2021,Formula One,Mercedes-AMG Petronas Formula One Team,1,11,4,3,8,36%,73%,27%
